objectid,name,description,infographic,site_area_type,COMMUNITY,Shape__Area,Shape__Length
1,Adams-Normandie,Area: 0.37 square miles,d2d2aac797ea49698cf5adf3e5d10d9d.txt,polygon,Adams-Normandie,1399723.34375,4830.30446509365
2,Alsace,Area: 0.62 square miles,65670c78759445ea8fc3b43e016654f6.txt,polygon,Alsace,2352224.68359375,7440.66047074995
3,Angelino Heights,Area: 0.15 square miles,389c666cb1eb41108d09d7a8bd9cf6a2.txt,polygon,Angelino Heights,570947.0390625,3828.97665695034
4,Arleta,Area: 2.86 square miles,db3f76773d0040b789aeb5ff4173f4cb.txt,polygon,Arleta,10870041.3515625,15288.2890170577
5,Atwater Village,Area: 2.33 square miles,01a662b208f14290887f9162b424be09.txt,polygon,Atwater Village,8809587.5390625,24546.1362902682
6,Baldwin Hills,Area: 2.6 square miles,17ba6437fa6842b383400cfdebd63105.txt,polygon,Baldwin Hills,9810118.75,19053.8305059645
7,Bel Air,Area: 6.69 square miles,234332b77fe2456e8167e11b4d1675c7.txt,polygon,Bel Air,25350103.9023438,28117.648507969
8,Beverly Crest,Area: 8.4 square miles,7f6d17c64a434af08a9030ffff5e17ff.txt,polygon,Beverly Crest,31830877.9648438,40472.291319859
9,Beverlywood,Area: 1.07 square miles,545713c33b0b4b2089dbee4dbc4fdf9d.txt,polygon,Beverlywood,4048352.05859375,12341.4497464203
10,Boyle Heights,Area: 5.17 square miles,7459ff03d2f84b948f3b86b766dbe956.txt,polygon,Boyle Heights,19533999.6445313,22069.379084649
11,Brentwood,Area: 9.22 square miles,82d841f6ae00429484060cf11105bfd6.txt,polygon,Brentwood,34905655.59375,37322.1156433285
12,Brookside,Area: 0.1 square miles,97da5ba5c36e448b819c4b6a064cd249.txt,polygon,Brookside,390195.671875,2772.11940318504
13,Cadillac-Corning,Area: 0.24 square miles,9cf7f0f6aae446608de7ab9738b14edf.txt,polygon,Cadillac-Corning,910915.25,3939.90514325742
14,Canoga Park,Area: 4.6 square miles,38691bfab92943738c50fdba8e6788d6.txt,polygon,Canoga Park,17453680.7070313,21390.956080742
15,Carthay,Area: 0.99 square miles,70fb1945e5584c378d504f5128bd0fe1.txt,polygon,Carthay,3748624.76171875,9847.24167536447
16,Central,Area: 1.5 square miles,6e9cc8f647ff48038d5b04a8250e643f.txt,polygon,Central,5655835.6953125,11961.6410420349
17,Century City,Area: 1.16 square miles,4baf0827b8154dad8f0fc9d9b311b228.txt,polygon,Century City,4378504.50390625,8801.16294238958
18,Century Palms/Cove,Area: 2.08 square miles,09143f4a8d0a486e81b0fa8b6c780e41.txt,polygon,Century Palms/Cove,7830094.625,12320.7490601793
19,Chatsworth,Area: 10.52 square miles,449abbd291e049728c1ce8127fa8d864.txt,polygon,Chatsworth,39965842.6875,28338.245963659
20,Cheviot Hills,Area: 1.73 square miles,78c9b9b6dc5d4db68915e97beff1b055.txt,polygon,Cheviot Hills,6558856.09765625,11853.1368478504
21,Chinatown,Area: 0.4 square miles,adadf4b658e04235875de7a4c3fc0b78.txt,polygon,Chinatown,1514687.1640625,5434.25295719205
22,Cloverdale/Cochran,Area: 0.87 square miles,cbef8a5e69c246c384aafe0d54533532.txt,polygon,Cloverdale/Cochran,3273748.14453125,8995.00260822381
23,Country Club Park,Area: 0.97 square miles,a082c8a0904e4ac98ee7297c81fb373e.txt,polygon,Country Club Park,3657881.98046875,8305.0158455832
24,Crenshaw District,Area: 1.18 square miles,4f0a6c809ebb4aa08fa1917ce824ba32.txt,polygon,Crenshaw District,4471873.30859375,9603.4828941702
25,Crestview,Area: 0.78 square miles,ce3d9493cd5c4dd68aa3be9332836b6a.txt,polygon,Crestview,2949409.47265625,7968.64453008887
26,Del Rey,Area: 2.34 square miles,42d0c075d4274e2d8d8ff22ffe25de0f.txt,polygon,Del Rey,8845141.43359375,16605.0768825479
27,Downtown,Area: 2.08 square miles,fc99585ebf56437b884fc4374a51e35a.txt,polygon,Downtown,7863855.328125,16321.3711173995
28,Eagle Rock,Area: 4.62 square miles,b6c7274951b54d5a8b017fb81da2a4ee.txt,polygon,Eagle Rock,17526008.9609375,22027.555514937
29,East Hollywood,Area: 1.1 square miles,cf9899d25190410782ab32798e6c2efa.txt,polygon,East Hollywood,4170792.37890625,8429.03964242016
30,Echo Park,Area: 1 square mile,1a97fe6ce7054ee787b151f4917f5ce3.txt,polygon,Echo Park,3773515.60546875,9758.50548508747
31,El Sereno,Area: 3.91 square miles,f53014c778554638864684d6b838d64c.txt,polygon,El Sereno,14795754.2890625,21060.4766534506
32,Elysian Park,Area: 1.75 square miles,10b64e9d1bd1496689275c04667bfae9.txt,polygon,Elysian Park,6628032.41015625,14603.1876085202
33,Elysian Valley,Area: 0.96 square miles,7913c02c9371411889b9b7478538e0bf.txt,polygon,Elysian Valley,3648953.8515625,19855.7374808414
34,Encino,Area: 14.15 square miles,43d2331e80864e8c8631370af3161a6b.txt,polygon,Encino,53637643.671875,38240.2495017415
35,Exposition,Area: 0.35 square miles,f0cb2c8be53a45cd8294b36e4510f605.txt,polygon,Exposition,1329074.6796875,5063.38210996546
36,Exposition Park,Area: 2.54 square miles,1efdf5f2dab0410289a0dc9b5dbcf61d.txt,polygon,Exposition Park,9600189.46484375,15436.1844284246
37,Faircrest Heights,Area: 0.47 square miles,297cf1fab300438f8512719eabe17c9b.txt,polygon,Faircrest Heights,1769074.453125,5941.94223624611
38,Figueroa Park Square,Area: 0.71 square miles,64ccbb3419604bac8710e7f55b6e6d8a.txt,polygon,Figueroa Park Square,2687308.80078125,7950.36715817855
39,Florence-Firestone,Area: 2.53 square miles,49d01b2b089146348e0b7abe398e265e.txt,polygon,Florence-Firestone,9551197.97265625,15247.5875095195
40,Glassell Park,Area: 3.04 square miles,15e696645c024ee08f12144d54cb8ecf.txt,polygon,Glassell Park,11513692.921875,18435.2038245086
41,Gramercy Place,Area: 1.15 square miles,f1604d95401743cb8bfadd758ee1db8a.txt,polygon,Gramercy Place,4323651.68359375,9733.5313303722
42,Granada Hills,Area: 15.74 square miles,96744026b0ec4b3b817c97c521279a41.txt,polygon,Granada Hills,59881623.46875,35134.4276548167
43,Green Meadows,Area: 1.23 square miles,b33b6a46dd5b449e83a71adbc83c922d.txt,polygon,Green Meadows,4624635.70703125,8813.42379035489
44,Hancock Park,Area: 2.06 square miles,5a11dd230b564d32893b6c309107eba6.txt,polygon,Hancock Park,7782383.390625,13194.1948319885
45,Harbor City,Area: 4.56 square miles,b754c2dec5474fc68a76d5108aa9376b.txt,polygon,Harbor City,17151330.8007813,25241.2388868751
46,Harbor Gateway,Area: 5.06 square miles,5f36a25fa5424ae18dae3ccf15789e5b.txt,polygon,Harbor Gateway,19063440.34375,42207.7698546858
47,Harbor Pines,Area: 0.24 square miles,e55f56db9c8044d98d6900a9024cc567.txt,polygon,Harbor Pines,897710.703125,4214.43998916678
48,Harvard Heights,Area: 0.75 square miles,195cea6cacde4f6f8d569f9157cf1f0c.txt,polygon,Harvard Heights,2834183.53125,7752.43625735003
